evt_nokonoko_urouro_check_func = .text:0x805baa64; //type:function size:0x148 scope:local
str_stg1_nok_31_01_nok_00001830 = .rodata:0x805bc1d0; //type:object size:0xf scope:local
str_stg1_nok_79_nok_00001840 = .rodata:0x805bc1e0; //type:object size:0xc scope:local
str_stg1_nok_80_nok_0000184c = .rodata:0x805bc1ec; //type:object size:0xc scope:local
str_stg1_nok_81_nok_00001858 = .rodata:0x805bc1f8; //type:object size:0xc scope:local
str_stg1_nok_82_nok_00001864 = .rodata:0x805bc204; //type:object size:0xc scope:local
str_stg1_nok_83_nok_00001870 = .rodata:0x805bc210; //type:object size:0xc scope:local
str_stg1_nok_84_nok_0000187c = .rodata:0x805bc21c; //type:object size:0xc scope:local
str_stg1_nok_84_1_nok_00001888 = .rodata:0x805bc228; //type:object size:0xe scope:local
str_irai_14_00_nok_00001898 = .rodata:0x805bc238; //type:object size:0xb scope:local
str_irai_14_01_nok_000018a4 = .rodata:0x805bc244; //type:object size:0xb scope:local
str_stg1_nok_32_nok_000018b0 = .rodata:0x805bc250; //type:object size:0xc scope:local
str_stg1_nok_32_01_nok_000018bc = .rodata:0x805bc25c; //type:object size:0xf scope:local
str_stg1_nok_33_nok_000018cc = .rodata:0x805bc26c; //type:object size:0xc scope:local
str_stg1_nok_33_1_nok_000018d8 = .rodata:0x805bc278; //type:object size:0xe scope:local
str_stg1_nok_33_1_1_nok_000018e8 = .rodata:0x805bc288; //type:object size:0x10 scope:local
str_stg1_nok_37_nok_000018f8 = .rodata:0x805bc298; //type:object size:0xc scope:local
str_SFX_VOICE_MARIO_SURP_nok_00001904 = .rodata:0x805bc2a4; //type:object size:0x1b scope:local
str_M_N_7_nok_00001920 = .rodata:0x805bc2c0; //type:object size:0x6 scope:local
str_M_N_B_nok_00001928 = .rodata:0x805bc2c8; //type:object size:0x6 scope:local
str_stg1_nok_38_nok_00001930 = .rodata:0x805bc2d0; //type:object size:0xc scope:local
str_M_I_2_nok_0000193c = .rodata:0x805bc2dc; //type:object size:0x6 scope:local
str_stg1_nok_39_nok_00001944 = .rodata:0x805bc2e4; //type:object size:0xc scope:local
str_M_N_2_nok_00001950 = .rodata:0x805bc2f0; //type:object size:0x6 scope:local
str_stg1_nok_40_nok_00001958 = .rodata:0x805bc2f8; //type:object size:0xc scope:local
str_stg1_nok_40_yn_nok_00001964 = .rodata:0x805bc304; //type:object size:0xf scope:local
str_stg1_nok_41_nok_00001974 = .rodata:0x805bc314; //type:object size:0xc scope:local
str_stg1_nok_41_yn_nok_00001980 = .rodata:0x805bc320; //type:object size:0xf scope:local
str_stg1_nok_42_nok_00001990 = .rodata:0x805bc330; //type:object size:0xc scope:local
str_stg1_nok_42_yn_nok_0000199c = .rodata:0x805bc33c; //type:object size:0xf scope:local
str_stg1_nok_43_nok_000019ac = .rodata:0x805bc34c; //type:object size:0xc scope:local
str_stg1_nok_44_nok_000019b8 = .rodata:0x805bc358; //type:object size:0xc scope:local
str_stg1_nok_44_yn_nok_000019c4 = .rodata:0x805bc364; //type:object size:0xf scope:local
str_stg1_nok_45_nok_000019d4 = .rodata:0x805bc374; //type:object size:0xc scope:local
str_SFX_VOICE_MARIO_NOD1_nok_000019e0 = .rodata:0x805bc380; //type:object size:0x17 scope:local
str_stg1_nok_46_nok_000019f8 = .rodata:0x805bc398; //type:object size:0xc scope:local
str_irai_08_001_nok_00001a04 = .rodata:0x805bc3a4; //type:object size:0xc scope:local
str_irai_08_002_nok_00001a10 = .rodata:0x805bc3b0; //type:object size:0xc scope:local
str_item_irai_nok_00001a1c = .rodata:0x805bc3bc; //type:object size:0xa scope:local
str_irai_08_003_1_nok_00001a28 = .rodata:0x805bc3c8; //type:object size:0xe scope:local
str_iri_08_nok_00001a38 = .rodata:0x805bc3d8; //type:object size:0x7 scope:local
str_irai_08_004_nok_00001a40 = .rodata:0x805bc3e0; //type:object size:0xc scope:local
str_sys_request_finish_nok_00001a4c = .rodata:0x805bc3ec; //type:object size:0x13 scope:local
str_irai_17_00_nok_00001a60 = .rodata:0x805bc400; //type:object size:0xb scope:local
str_irai_17_01_nok_00001a6c = .rodata:0x805bc40c; //type:object size:0xb scope:local
str_kairanban_nok_00001a78 = .rodata:0x805bc418; //type:object size:0xa scope:local
str_irai_17_02_nok_00001a84 = .rodata:0x805bc424; //type:object size:0xb scope:local
str_stg1_nok_56_nok_00001a90 = .rodata:0x805bc430; //type:object size:0xc scope:local
str_stg1_nok_47_nok_00001a9c = .rodata:0x805bc43c; //type:object size:0xc scope:local
str_stg1_nok_56_01_nok_00001aa8 = .rodata:0x805bc448; //type:object size:0xf scope:local
str_stg1_nok_57_nok_00001ab8 = .rodata:0x805bc458; //type:object size:0xc scope:local
str_stg1_nok_57_1_00_nok_00001ac4 = .rodata:0x805bc464; //type:object size:0x11 scope:local
str_stg1_nok_57_1_nok_00001ad8 = .rodata:0x805bc478; //type:object size:0xe scope:local
str_stg1_nok_57_1_1_nok_00001ae8 = .rodata:0x805bc488; //type:object size:0x10 scope:local
str_stg1_nok_64_nok_00001af8 = .rodata:0x805bc498; //type:object size:0xc scope:local
str_SFX_VOICE_MARIO_NOD1_nok_00001b04 = .rodata:0x805bc4a4; //type:object size:0x17 scope:local
str_stg1_nok_64_01_nok_00001b1c = .rodata:0x805bc4bc; //type:object size:0xf scope:local
str_stg1_nok_65_nok_00001b2c = .rodata:0x805bc4cc; //type:object size:0xc scope:local
str_a_nok_00001b38 = .rodata:0x805bc4d8; //type:object size:0x2 scope:local
str_stg1_nok_66_nok_00001b3c = .rodata:0x805bc4dc; //type:object size:0xc scope:local
str_stg1_nok_66_01_nok_00001b48 = .rodata:0x805bc4e8; //type:object size:0xf scope:local
str_stg1_nok_67_nok_00001b58 = .rodata:0x805bc4f8; //type:object size:0xc scope:local
str_stg1_nok_68_nok_00001b64 = .rodata:0x805bc504; //type:object size:0xc scope:local
str_stg1_nok_70_nok_00001b70 = .rodata:0x805bc510; //type:object size:0xc scope:local
str_stg1_nok_69_nok_00001b7c = .rodata:0x805bc51c; //type:object size:0xc scope:local
str_stg1_nok_71_nok_00001b88 = .rodata:0x805bc528; //type:object size:0xc scope:local
str_stg1_nok_72_nok_00001b94 = .rodata:0x805bc534; //type:object size:0xc scope:local
str_stg1_nok_73_nok_00001ba0 = .rodata:0x805bc540; //type:object size:0xc scope:local
str_stg1_nok_74_nok_00001bac = .rodata:0x805bc54c; //type:object size:0xc scope:local
str_stg1_nok_75_nok_00001bb8 = .rodata:0x805bc558; //type:object size:0xc scope:local
str_stg1_nok_76_nok_00001bc4 = .rodata:0x805bc564; //type:object size:0xc scope:local
str_stg1_nok_77_nok_00001bd0 = .rodata:0x805bc570; //type:object size:0xc scope:local
str_stg1_nok_78_nok_00001bdc = .rodata:0x805bc57c; //type:object size:0xc scope:local
str_stg1_nok_34_nok_00001be8 = .rodata:0x805bc588; //type:object size:0xc scope:local
str_踊り子１_nok_00001bf4 = .rodata:0x805bc594; //type:object size:0x9 scope:local
str_stg1_nok_35_nok_00001c00 = .rodata:0x805bc5a0; //type:object size:0xc scope:local
str_踊り子２_nok_00001c0c = .rodata:0x805bc5ac; //type:object size:0x9 scope:local
str_stg1_nok_36_nok_00001c18 = .rodata:0x805bc5b8; //type:object size:0xc scope:local
str_踊り子３_nok_00001c24 = .rodata:0x805bc5c4; //type:object size:0x9 scope:local
str_stg1_nok_36_01_nok_00001c30 = .rodata:0x805bc5d0; //type:object size:0xf scope:local
str_stg1_nok_36_02_nok_00001c40 = .rodata:0x805bc5e0; //type:object size:0xf scope:local
str_stg1_nok_36_03_nok_00001c50 = .rodata:0x805bc5f0; //type:object size:0xf scope:local
str_c_dance_r_nok_00001c60 = .rodata:0x805bc600; //type:object size:0xa scope:local
str_踊り子_nok_00001c6c = .rodata:0x805bc60c; //type:object size:0x7 scope:local
str_c_dance_p_nok_00001c74 = .rodata:0x805bc614; //type:object size:0xa scope:local
str_踊り子ピンク_nok_00001c80 = .rodata:0x805bc620; //type:object size:0xd scope:local
str_c_dance_k_nok_00001c90 = .rodata:0x805bc630; //type:object size:0xa scope:local
str_踊り子黄緑_nok_00001c9c = .rodata:0x805bc63c; //type:object size:0xb scope:local
str_ノコノコG_nok_00001ca8 = .rodata:0x805bc648; //type:object size:0xa scope:local
str_ノコノコH_nok_00001cb4 = .rodata:0x805bc654; //type:object size:0xa scope:local
str_ノコノコI_nok_00001cc0 = .rodata:0x805bc660; //type:object size:0xa scope:local
str_ノコノコK_nok_00001ccc = .rodata:0x805bc66c; //type:object size:0xa scope:local
str_村長_nok_00001cd8 = .rodata:0x805bc678; //type:object size:0x5 scope:local
str_ノコタロウ父_nok_00001ce0 = .rodata:0x805bc680; //type:object size:0xd scope:local
str_ノコリン_nok_00001cf0 = .rodata:0x805bc690; //type:object size:0x9 scope:local
str_w_bero_nok_00001cfc = .rodata:0x805bc69c; //type:object size:0x7 scope:local
str_nok_00_nok_00001d04 = .rodata:0x805bc6a4; //type:object size:0x7 scope:local
str_e_bero_nok_00001d0c = .rodata:0x805bc6ac; //type:object size:0x7 scope:local
str_hei_02_nok_00001d14 = .rodata:0x805bc6b4; //type:object size:0x7 scope:local
str_dokan_1_nok_00001d1c = .rodata:0x805bc6bc; //type:object size:0x8 scope:local
str_tik_16_nok_00001d24 = .rodata:0x805bc6c4; //type:object size:0x7 scope:local
str_dokan_2_nok_00001d2c = .rodata:0x805bc6cc; //type:object size:0x8 scope:local
str_kururin3_nok_00001d34 = .rodata:0x805bc6d4; //type:object size:0x9 scope:local
str_A_son_doa_nok_00001d40 = .rodata:0x805bc6e0; //type:object size:0xa scope:local
str_A_son_in_doa_nok_00001d4c = .rodata:0x805bc6ec; //type:object size:0xd scope:local
str_S_son_open_nok_00001d5c = .rodata:0x805bc6fc; //type:object size:0xb scope:local
str_S_son_doa_open_nok_00001d68 = .rodata:0x805bc708; //type:object size:0xf scope:local
str_S_son_close_nok_00001d78 = .rodata:0x805bc718; //type:object size:0xc scope:local
str_S_son_doa_close_nok_00001d84 = .rodata:0x805bc724; //type:object size:0x10 scope:local
str_S_son_mae_nok_00001d94 = .rodata:0x805bc734; //type:object size:0xa scope:local
str_S_son_doa1_nok_00001da0 = .rodata:0x805bc740; //type:object size:0xb scope:local
str_S_son_in_nok_00001dac = .rodata:0x805bc74c; //type:object size:0x9 scope:local
str_A_son_in_nok_00001db8 = .rodata:0x805bc758; //type:object size:0x9 scope:local
str_S_taro_in_nok_00001dc4 = .rodata:0x805bc764; //type:object size:0xa scope:local
str_box_nok_00001dd0 = .rodata:0x805bc770; //type:object size:0x4 scope:local
str_item_01_nok_00001dd4 = .rodata:0x805bc774; //type:object size:0x8 scope:local
str_A_taro_doa_nok_00001ddc = .rodata:0x805bc77c; //type:object size:0xb scope:local
str_A_taro_in_doa_nok_00001de8 = .rodata:0x805bc788; //type:object size:0xe scope:local
str_S_taro_open_nok_00001df8 = .rodata:0x805bc798; //type:object size:0xc scope:local
str_S_taro_doa_open_nok_00001e04 = .rodata:0x805bc7a4; //type:object size:0x10 scope:local
str_S_taro_close_nok_00001e14 = .rodata:0x805bc7b4; //type:object size:0xd scope:local
str_S_taro_doa_close_nok_00001e24 = .rodata:0x805bc7c4; //type:object size:0x11 scope:local
str_S_taro_mae_nok_00001e38 = .rodata:0x805bc7d8; //type:object size:0xb scope:local
str_S_taro_doa_nok_00001e44 = .rodata:0x805bc7e4; //type:object size:0xb scope:local
str_A_taro_in_nok_00001e50 = .rodata:0x805bc7f0; //type:object size:0xa scope:local
str_S_ie_sit_nok_00001e5c = .rodata:0x805bc7fc; //type:object size:0x9 scope:local
str_A_ie_doa_nok_00001e68 = .rodata:0x805bc808; //type:object size:0x9 scope:local
str_S_ie_in_doa_nok_00001e74 = .rodata:0x805bc814; //type:object size:0xc scope:local
str_S_ie_open_nok_00001e80 = .rodata:0x805bc820; //type:object size:0xa scope:local
str_S_ie_doa_open_nok_00001e8c = .rodata:0x805bc82c; //type:object size:0xe scope:local
str_S_ie_close_nok_00001e9c = .rodata:0x805bc83c; //type:object size:0xb scope:local
str_S_ie_doa_close_nok_00001ea8 = .rodata:0x805bc848; //type:object size:0xf scope:local
str_S_ie_mae_nok_00001eb8 = .rodata:0x805bc858; //type:object size:0x9 scope:local
str_S_ie_doa_nok_00001ec4 = .rodata:0x805bc864; //type:object size:0x9 scope:local
str_S_ie_in_nok_00001ed0 = .rodata:0x805bc870; //type:object size:0x8 scope:local
str_A_ie_in_nok_00001ed8 = .rodata:0x805bc878; //type:object size:0x8 scope:local
str_mod_00_nok_00001ee0 = .rodata:0x805bc880; //type:object size:0x7 scope:local
str_mod_01_nok_00001ee8 = .rodata:0x805bc888; //type:object size:0x7 scope:local
str_mod_02_nok_00001ef0 = .rodata:0x805bc890; //type:object size:0x7 scope:local
str_mod_03_nok_00001ef8 = .rodata:0x805bc898; //type:object size:0x7 scope:local
str_mod_04_nok_00001f00 = .rodata:0x805bc8a0; //type:object size:0x7 scope:local
str_mod_05_nok_00001f08 = .rodata:0x805bc8a8; //type:object size:0x7 scope:local
str_mod_06_nok_00001f10 = .rodata:0x805bc8b0; //type:object size:0x7 scope:local
str_mod_07_nok_00001f18 = .rodata:0x805bc8b8; //type:object size:0x7 scope:local
str_mod_08_nok_00001f20 = .rodata:0x805bc8c0; //type:object size:0x7 scope:local
str_mod_09_nok_00001f28 = .rodata:0x805bc8c8; //type:object size:0x7 scope:local
str_mod_010_nok_00001f30 = .rodata:0x805bc8d0; //type:object size:0x8 scope:local
str_A_hasi1_nok_00001f38 = .rodata:0x805bc8d8; //type:object size:0x8 scope:local
str_stg1_nok_85_nok_00001f40 = .rodata:0x805bc8e0; //type:object size:0xc scope:local
str_stg1_nok_86_nok_00001f4c = .rodata:0x805bc8ec; //type:object size:0xc scope:local
str_stg1_nok_87_nok_00001f58 = .rodata:0x805bc8f8; //type:object size:0xc scope:local
str_stg1_nok_88_nok_00001f64 = .rodata:0x805bc904; //type:object size:0xc scope:local
str_stg1_nok_89_nok_00001f70 = .rodata:0x805bc910; //type:object size:0xc scope:local
str_stg1_nok_90_nok_00001f7c = .rodata:0x805bc91c; //type:object size:0xc scope:local
str_stg1_nok_91_nok_00001f88 = .rodata:0x805bc928; //type:object size:0xc scope:local
str_クリスチーヌ_nok_00001f94 = .rodata:0x805bc934; //type:object size:0xd scope:local
str_stg1_nok_92_nok_00001fa4 = .rodata:0x805bc944; //type:object size:0xc scope:local
str_stg1_nok_94_nok_00001fb0 = .rodata:0x805bc950; //type:object size:0xc scope:local
str_stg1_nok_95_nok_00001fbc = .rodata:0x805bc95c; //type:object size:0xc scope:local
str_stg1_nok_96_nok_00001fc8 = .rodata:0x805bc968; //type:object size:0xc scope:local
str_c_pkr_nok_00001fd4 = .rodata:0x805bc974; //type:object size:0x6 scope:local
str_PKR_S_1_nok_00001fdc = .rodata:0x805bc97c; //type:object size:0x8 scope:local
vec3_nok_00001fe4 = .rodata:0x805bc984; //type:object size:0xc scope:local
vec3_nok_00001ff0 = .rodata:0x805bc990; //type:object size:0xc scope:local
vec3_nok_00001ffc = .rodata:0x805bc99c; //type:object size:0xc scope:local
zero_nok_00002008 = .rodata:0x805bc9a8; //type:object size:0x1 scope:local
str_S_nok_0000200c = .rodata:0x805bc9ac; //type:object size:0x2 scope:local
str_SFX_STG8_WORLD_DARK1_nok_00002010 = .rodata:0x805bc9b0; //type:object size:0x15 scope:local
str_stg8_dark_01_nok_00002028 = .rodata:0x805bc9c8; //type:object size:0xd scope:local
str_mri_00_nok_00002038 = .rodata:0x805bc9d8; //type:object size:0x7 scope:local
str_sekai_yami1_nok_00002040 = .rodata:0x805bc9e0; //type:object size:0xc scope:local
str_starstone_nok_0000204c = .rodata:0x805bc9ec; //type:object size:0xa scope:local
str_S_hasi_nok_00002058 = .rodata:0x805bc9f8; //type:object size:0x7 scope:local
str_stg8_las_148_03_nok_00002060 = .rodata:0x805bca00; //type:object size:0x10 scope:local
str_stg8_las_148_04_nok_00002070 = .rodata:0x805bca10; //type:object size:0x10 scope:local
str_stg8_las_148_05_nok_00002080 = .rodata:0x805bca20; //type:object size:0x10 scope:local
str_stg8_las_148_06_nok_00002090 = .rodata:0x805bca30; //type:object size:0x10 scope:local
str_stg8_las_148_07_nok_000020a0 = .rodata:0x805bca40; //type:object size:0x10 scope:local
str_stg8_las_148_08_nok_000020b0 = .rodata:0x805bca50; //type:object size:0x10 scope:local
str_stg8_las_148_09_nok_000020c0 = .rodata:0x805bca60; //type:object size:0x10 scope:local
str_minnnanokoe_nok_000020d0 = .rodata:0x805bca70; //type:object size:0xc scope:local
str_S_dakan_nok_000020dc = .rodata:0x805bca7c; //type:object size:0x8 scope:local
str_A_dokan_nok_000020e4 = .rodata:0x805bca84; //type:object size:0x8 scope:local
str_nok_01_for_E3_nok_000020ec = .rodata:0x805bca8c; //type:object size:0xe scope:local
str_kpa_02_nok_000020fc = .rodata:0x805bca9c; //type:object size:0x7 scope:local
str_PNK_T_1_nok_00002104 = .rodata:0x805bcaa4; //type:object size:0x8 scope:local
str_PNK_S_1_nok_0000210c = .rodata:0x805bcaac; //type:object size:0x8 scope:local
str_T_1_nok_00002114 = .rodata:0x805bcab4; //type:object size:0x4 scope:local
str_S_1_nok_00002118 = .rodata:0x805bcab8; //type:object size:0x4 scope:local
str_PNK_O_1_nok_0000211c = .rodata:0x805bcabc; //type:object size:0x8 scope:local
str_PKR_T_1_nok_00002124 = .rodata:0x805bcac4; //type:object size:0x8 scope:local
str_PNK_T_3_nok_0000212c = .rodata:0x805bcacc; //type:object size:0x8 scope:local
str_PNK_Y_1_nok_00002134 = .rodata:0x805bcad4; //type:object size:0x8 scope:local
str_BGM_STG1_NOK1_nok_0000213c = .rodata:0x805bcadc; //type:object size:0xe scope:local
str_ep_38_nok_0000214c = .rodata:0x805bcaec; //type:object size:0x6 scope:local
str_BGM_ZAKO_BATTLE1_nok_00002154 = .rodata:0x805bcaf4; //type:object size:0x11 scope:local
str_tou_08_nok_00002168 = .rodata:0x805bcb08; //type:object size:0x7 scope:local
str_item_kusa_4_nok_00002170 = .rodata:0x805bcb10; //type:object size:0xc scope:local
str_item_kusa_5_nok_0000217c = .rodata:0x805bcb1c; //type:object size:0xc scope:local
str_item_kusa_6_nok_00002188 = .rodata:0x805bcb28; //type:object size:0xc scope:local
str_A_kamehapa_04_nok_00002194 = .rodata:0x805bcb34; //type:object size:0xe scope:local
str_S_kamehapa_04_nok_000021a4 = .rodata:0x805bcb44; //type:object size:0xe scope:local
str_A_kamehapa_05_nok_000021b4 = .rodata:0x805bcb54; //type:object size:0xe scope:local
str_S_kamehapa_05_nok_000021c4 = .rodata:0x805bcb64; //type:object size:0xe scope:local
str_A_kamehapa_06_nok_000021d4 = .rodata:0x805bcb74; //type:object size:0xe scope:local
str_S_kamehapa_06_nok_000021e4 = .rodata:0x805bcb84; //type:object size:0xe scope:local
str_BGM_EVT_STG8_WITCH_nok_000021f4 = .rodata:0x805bcb94; //type:object size:0x13 scope:local
str_BGM_EVT_STG8_VOICE1_nok_00002208 = .rodata:0x805bcba8; //type:object size:0x14 scope:local
str_ENV_STG1_NOK2_nok_0000221c = .rodata:0x805bcbbc; //type:object size:0xe scope:local
str_S_kawa_nok_0000222c = .rodata:0x805bcbcc; //type:object size:0x7 scope:local
str_kururin2_nok_00002234 = .rodata:0x805bcbd4; //type:object size:0x9 scope:local
str_S_guround_nok_00002240 = .rodata:0x805bcbe0; //type:object size:0xa scope:local
str_item_00_nok_0000224c = .rodata:0x805bcbec; //type:object size:0x8 scope:local
str_butterfly_nok_00002254 = .rodata:0x805bcbf4; //type:object size:0xa scope:local
str_nokotarou_nok_00002260 = .rodata:0x805bcc00; //type:object size:0xa scope:local
float_1_nok_0000226c = .rodata:0x805bcc0c; //type:object size:0x4 scope:local
float_neg100_nok_00002270 = .rodata:0x805bcc10; //type:object size:0x4 scope:local
str_btl_un_act_atmic_ter_nok_00002278 = .rodata:0x805bcc18; //type:object size:0x18 scope:local
str_SFX_BTL_DAMAGE1_nok_00002290 = .rodata:0x805bcc30; //type:object size:0x10 scope:local
str_SFX_BTL_DAMAGE_FIRE1_nok_000022a0 = .rodata:0x805bcc40; //type:object size:0x15 scope:local
str_SFX_BTL_DAMAGE_ICE1_nok_000022b8 = .rodata:0x805bcc58; //type:object size:0x14 scope:local
str_SFX_BTL_DAMAGE_BIRIB_nok_000022cc = .rodata:0x805bcc6c; //type:object size:0x19 scope:local
str_S_1_nok_000022e8 = .rodata:0x805bcc88; //type:object size:0x4 scope:local
str_D_1_nok_000022ec = .rodata:0x805bcc8c; //type:object size:0x4 scope:local
str_R_1_nok_000022f0 = .rodata:0x805bcc90; //type:object size:0x4 scope:local
str_W_1_nok_000022f4 = .rodata:0x805bcc94; //type:object size:0x4 scope:local
str_T_1_nok_000022f8 = .rodata:0x805bcc98; //type:object size:0x4 scope:local
str_btl_un_teresa_nok_000022fc = .rodata:0x805bcc9c; //type:object size:0xe scope:local
str_c_atmic_trs_nok_0000230c = .rodata:0x805bccac; //type:object size:0xc scope:local
str_btl_un_act_clauda_nok_00002318 = .rodata:0x805bccb8; //type:object size:0x12 scope:local
str_SFX_BTL_DAMAGE1_nok_0000232c = .rodata:0x805bcccc; //type:object size:0x10 scope:local
str_SFX_BTL_DAMAGE_FIRE1_nok_0000233c = .rodata:0x805bccdc; //type:object size:0x15 scope:local
str_SFX_BTL_DAMAGE_ICE1_nok_00002354 = .rodata:0x805bccf4; //type:object size:0x14 scope:local
str_SFX_BTL_DAMAGE_BIRIB_nok_00002368 = .rodata:0x805bcd08; //type:object size:0x19 scope:local
str_btl_un_clauda_nok_00002384 = .rodata:0x805bcd24; //type:object size:0xe scope:local
str_c_windy_nok_00002394 = .rodata:0x805bcd34; //type:object size:0x8 scope:local
str_btl_un_act_kinopiko_nok_000023a0 = .rodata:0x805bcd40; //type:object size:0x14 scope:local
str_SFX_BTL_DAMAGE1_nok_000023b4 = .rodata:0x805bcd54; //type:object size:0x10 scope:local
str_SFX_BTL_DAMAGE_FIRE1_nok_000023c4 = .rodata:0x805bcd64; //type:object size:0x15 scope:local
str_SFX_BTL_DAMAGE_ICE1_nok_000023dc = .rodata:0x805bcd7c; //type:object size:0x14 scope:local
str_SFX_BTL_DAMAGE_BIRIB_nok_000023f0 = .rodata:0x805bcd90; //type:object size:0x19 scope:local
str_KNF_S_1_nok_0000240c = .rodata:0x805bcdac; //type:object size:0x8 scope:local
str_KNF_D_1_nok_00002414 = .rodata:0x805bcdb4; //type:object size:0x8 scope:local
str_KNF_R_1_nok_0000241c = .rodata:0x805bcdbc; //type:object size:0x8 scope:local
str_KNF_W_1_nok_00002424 = .rodata:0x805bcdc4; //type:object size:0x8 scope:local
str_KNF_T_1_nok_0000242c = .rodata:0x805bcdcc; //type:object size:0x8 scope:local
str_btl_un_teresa_nok_00002434 = .rodata:0x805bcdd4; //type:object size:0xe scope:local
str_c_kinopiko_nok_00002444 = .rodata:0x805bcde4; //type:object size:0xb scope:local
str_btl_un_act_kinopio_nok_00002450 = .rodata:0x805bcdf0; //type:object size:0x13 scope:local
str_SFX_BTL_DAMAGE1_nok_00002464 = .rodata:0x805bce04; //type:object size:0x10 scope:local
str_SFX_BTL_DAMAGE_FIRE1_nok_00002474 = .rodata:0x805bce14; //type:object size:0x15 scope:local
str_SFX_BTL_DAMAGE_ICE1_nok_0000248c = .rodata:0x805bce2c; //type:object size:0x14 scope:local
str_SFX_BTL_DAMAGE_BIRIB_nok_000024a0 = .rodata:0x805bce40; //type:object size:0x19 scope:local
str_KNP_S_1_nok_000024bc = .rodata:0x805bce5c; //type:object size:0x8 scope:local
str_KNP_D_1_nok_000024c4 = .rodata:0x805bce64; //type:object size:0x8 scope:local
str_KNP_R_1_nok_000024cc = .rodata:0x805bce6c; //type:object size:0x8 scope:local
str_KNP_W_1_nok_000024d4 = .rodata:0x805bce74; //type:object size:0x8 scope:local
str_KNP_T_1_nok_000024dc = .rodata:0x805bce7c; //type:object size:0x8 scope:local
str_btl_un_teresa_nok_000024e4 = .rodata:0x805bce84; //type:object size:0xe scope:local
str_c_kinopio_nok_000024f4 = .rodata:0x805bce94; //type:object size:0xa scope:local
str_btl_un_act_mario_nok_00002500 = .rodata:0x805bcea0; //type:object size:0x11 scope:local
str_SFX_BTL_DAMAGE1_nok_00002514 = .rodata:0x805bceb4; //type:object size:0x10 scope:local
str_SFX_BTL_DAMAGE_FIRE1_nok_00002524 = .rodata:0x805bcec4; //type:object size:0x15 scope:local
str_SFX_BTL_DAMAGE_ICE1_nok_0000253c = .rodata:0x805bcedc; //type:object size:0x14 scope:local
str_SFX_BTL_DAMAGE_BIRIB_nok_00002550 = .rodata:0x805bcef0; //type:object size:0x19 scope:local
str_EM_S_1_nok_0000256c = .rodata:0x805bcf0c; //type:object size:0x7 scope:local
str_KNP_S_1_nok_00002574 = .rodata:0x805bcf14; //type:object size:0x8 scope:local
str_EM_D_1_nok_0000257c = .rodata:0x805bcf1c; //type:object size:0x7 scope:local
str_EM_R_1_nok_00002584 = .rodata:0x805bcf24; //type:object size:0x7 scope:local
str_EM_W_1_nok_0000258c = .rodata:0x805bcf2c; //type:object size:0x7 scope:local
str_EM_T_1_nok_00002594 = .rodata:0x805bcf34; //type:object size:0x7 scope:local
str_c_mario_nok_0000259c = .rodata:0x805bcf3c; //type:object size:0x8 scope:local
str_ep_39_nok_000025a4 = .rodata:0x805bcf44; //type:object size:0x6 scope:local
str_PWD_A_7_nok_000025ac = .rodata:0x805bcf4c; //type:object size:0x8 scope:local
str_EM_J_1B_nok_000025b4 = .rodata:0x805bcf54; //type:object size:0x8 scope:local
str_EM_J_1D_nok_000025bc = .rodata:0x805bcf5c; //type:object size:0x8 scope:local
str_hit_nok_000025c4 = .rodata:0x805bcf64; //type:object size:0x4 scope:local
str_PWD_A1_1_nok_000025c8 = .rodata:0x805bcf68; //type:object size:0x9 scope:local
str_PWD_Y_1_nok_000025d4 = .rodata:0x805bcf74; //type:object size:0x8 scope:local
str_PWD_A2_1_nok_000025dc = .rodata:0x805bcf7c; //type:object size:0x9 scope:local
str_PWD_A2_2_nok_000025e8 = .rodata:0x805bcf88; //type:object size:0x9 scope:local
str_PWD_A2_3_nok_000025f4 = .rodata:0x805bcf94; //type:object size:0x9 scope:local
str_A_1_nok_00002600 = .rodata:0x805bcfa0; //type:object size:0x4 scope:local
str_A_2_nok_00002604 = .rodata:0x805bcfa4; //type:object size:0x4 scope:local
str_R_1_nok_00002608 = .rodata:0x805bcfa8; //type:object size:0x4 scope:local
str_Z_1_nok_0000260c = .rodata:0x805bcfac; //type:object size:0x4 scope:local
str_W_1_nok_00002610 = .rodata:0x805bcfb0; //type:object size:0x4 scope:local
str_S_1_nok_00002614 = .rodata:0x805bcfb4; //type:object size:0x4 scope:local
float_15_nok_00002618 = .rodata:0x805bcfb8; //type:object size:0x4 scope:local
zero_nok_0000261c = .rodata:0x805bcfbc; //type:object size:0x4 scope:local
float_neg2_nok_00002620 = .rodata:0x805bcfc0; //type:object size:0x4 scope:local
float_1_nok_00002624 = .rodata:0x805bcfc4; //type:object size:0x4 scope:local
float_neg10_nok_00002628 = .rodata:0x805bcfc8; //type:object size:0x4 scope:local
double_to_int_nok_00002630 = .rodata:0x805bcfd0; //type:object size:0x8 scope:local
float_25_nok_00002638 = .rodata:0x805bcfd8; //type:object size:0x4 scope:local
float_2_nok_0000263c = .rodata:0x805bcfdc; //type:object size:0x4 scope:local
str_btl_un_act_teresa_nok_00002640 = .rodata:0x805bcfe0; //type:object size:0x12 scope:local
str_SFX_BTL_DAMAGE1_nok_00002654 = .rodata:0x805bcff4; //type:object size:0x10 scope:local
